ID,HOF_S(kJ/mol),smiles
JUBCOY,110.3,[O-][N+](=O)c1cccnc1c1ncccc1[N+](=O)[O-]
JUFKIE,148.5,[O-][N+](=O)C1=C[N-][C@]2(C(=C1)[N+](=O)[O-])N(C)C1=CC=CC=CC1=[N+]2C
JUFLAX,-457,O=C(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])Oc1ccc2c3c1C(=O)C=Cc3ccc2
JULGUS,86.2,C/C(=N\N=C(\c1ccccc1[N+](=O)[O-])/C)/c1ccccc1[N+](=O)[O-]
JULHAZ,78.4,C/C(=N/N=C(/c1ccccc1[N+](=O)[O-])\C)/c1ccccc1[N+](=O)[O-]
JULHED,195.6,[O-][N+](=O)c1ccccc1/C=N/N=C/c1ccccc1[N+](=O)[O-]
JULWAO20,-141.2,[O-][N+](=O)c1ccc(cc1)/N=N/C1(C)C(=O)c2c(C1=O)cccc2
JUMFAA,-245.8,CC(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
JUNBEB,360.4,[O-][N+](=O)c1nnc2n(c1N)nc(c2[N+](=O)[O-])[N+](=O)[O-]
JUPRIV,-57,[O-][N+](=O)c1cc(cc(c1N(C)C)[N+](=O)[O-])[N+](=O)[O-]
JUPROB,-65.8,CNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUPSES,-196.3,COc1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
JUTGEK,-186.7,[O-][N+](=O)CC[N+](=O)[O-]
JUVMIW01,-239.8,[O-][N+](=O)C1(C[C@H]2C[C@@H]1CC2([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUVMUI,-307,[O-][N+](=O)C1(C[C@@H]2[C@H](C1)CC(C2)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUVNAP,-302.2,[O-][N+](=O)C1(CCC(CC1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUXBOV,-289.1,CONC(=O)Nc1ccc(cc1)[N+](=O)[O-]
KABGIF,-456.2,COc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1OC(=O)C
KABNEI,136.9,N#Cc1ccc(cc1)/C=C\c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KADZEU,-402.5,O=C(c1ccccc1O)Nc1ccc(cc1)[N+](=O)[O-]
KADZIY,-402.5,O=C(c1ccccc1O)Nc1ccc(cc1)[N+](=O)[O-]
KAGDEB,-20.1,CN/C(=C(/c1ccccc1)\[N+](=O)[O-])/c1ccccc1
KAHHUY,77.1,[O-][N+](=O)c1c(N)[nH]nc1[N+](=O)[O-]
KAHSAP,-169.8,O=C(c1ccccn1)Nc1ccc(cc1)[N+](=O)[O-]
KAJFAD,-51,[O-][N+](=O)C1=C/C(=[NH+]\CC)/[N+](=O)C=C1
KAKNEP,-317.7,CCc1ccc(nc1)C[C@@H](c1ccc(cc1)[N+](=O)[O-])O
KAPCAF,-131.5,[O-][N+](=O)c1ccc2c(c1)c(C)c([nH]2)C
KARJOC,68.1,[O-][N+](=O)c1ccc2c(c1)C(=NCN2)c1ccccc1
KASBAH,187.2,N#CN([N+](=O)[O-])Cc1ccccc1
KASBEL,280.1,N#CN([N+](=O)[O-])CCCCN([N+](=O)[O-])C#N
KATCIS,-89,O=C(c1ccc(cc1)[N+](=O)[O-])CCn1ncnc1
KATGAO,-248.4,O=C(c1ccccc1)N/N=C/c1cc(ccc1O)[N+](=O)[O-]
KATNID,10.2,Cc1ccc(cc1)/N=C/c1cccc(c1)[N+](=O)[O-]
KAVFUI01,108.7,[O-][N+](=O)n1cnc(c1)[N+](=O)[O-]
KAWQAD,-415.2,COc1ccc(cc1)n1c(C=O)cc(c1c1ccc(cc1)[N+](=O)[O-])C=O
KAWTOR,-269,OCc1cccc(c1)N(Cc1cccc(c1)[N+](=O)[O-])O
KAXLOK,-327.4,COC[C@@H]1CCCN1/C=C(/[N+](=O)[O-])\C
KAXLOL,-123.5,[O-][N+](=O)c1cc(C)c(c(c1C)[N+](=O)[O-])[N+](=O)[O-]
KAYTUZ,-96.1,NCCNc1ccc(cc1)[N+](=O)[O-]
KAYVAH,121.8,[O-][N+](=O)c1cc(ccc1n1cccn1)[N+](=O)[O-]
KECTAN,-1165.5,COC(=O)[C@@H]([C@H](C(=O)OC)O)Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KEDWUO,-830.3,[O-][N+](=O)c1cc(C(=O)O)c(cc1C(=O)O)N
KEFJUD,-348.3,O=C(c1ccccc1)Nc1ccc(cc1C1=NCCO1)[N+](=O)[O-]
KEFLEM06,-45.9,Nc1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
KEFTIY,-421.6,[O-][N+](=O)O[C@H]1[C@H]([N+](=O)[O-])C(=C[C@@H]([C@@]1(C)[N+](=O)[O-])[N+](=O)[O-])C(C)C
KEFYOK,-105.3,[O-][N+](=O)c1cccc(c1N)C
KEJGIP,-501.3,CCOC(=O)Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KEMREZ,-238,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccc(cc1)[N+](=O)[O-]
KEMTIF,2,[O-][N+](=O)N1CN(CC2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KENCEM,-322.8,CC(=O)NCCc1c[nH]c2c1c(ccc2)[N+](=O)[O-]
KENFUH,273.3,[O-][N+](=O)c1nc(n(n1)C([N+](=O)[O-])[N+](=O)[O-])c1nc(nn1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KEPDUF,51.1,[O-][N+](=O)/N=C/1\NCCN1Cc1noc(c1)c1ccccc1
KEPFAN,-0.3,Cc1ccc(cc1)c1onc(c1)CN1CCN/C/1=N\[N+](=O)[O-]
KEPFER,-125,COc1ccccc1c1onc(c1)CN1CCN/C/1=N\[N+](=O)[O-]
KEPVIK,39.9,[O-][N+](=O)c1c(cc2c3c1c1ccccc1c3ccc2)[N+](=O)[O-]
KEQXOV,-272.2,CCN(C(=C([N+](=O)[O-])[N+](=O)[O-])N(CC)CC)CC
KETYEO,-531.2,O=c1cc(C)c2c(o1)cc(c(c2[N+](=O)[O-])O)[N+](=O)[O-]
KEZMEK,-46.8,Cc1ncc(n1C)c1ccc(cc1)[N+](=O)[O-]
KIBGIO,-358.2,O=[N+]1C=C(C=C/C/1=[NH+]\C(=O)NC(C)(C)C)[N+](=O)[O-]
KIBGOU,-385.9,O=C(NC(C)(C)C)Nc1ccc(cn1)[N+](=O)[O-]
KIBMIU,252.7,[O-][N+](=O)C(/C(=N/c1nnnn1C)/N)([N+](=O)[O-])[N+](=O)[O-]
KIBSAS01,250.9,Nc1onc(n1)c1nonc1[N+](=O)[O-]
KIKKIZ,-287.9,O=C1N[C@H]([C@H]1Oc1ccccc1)c1ccc(cc1)[N+](=O)[O-]
KIKNEY,91,NNc1n(C)nc(c1[N+](=O)[O-])C
KIMQEF,100,[O-][N+](=O)c1ccc(nc1)Nc1cccc2c1nccc2
KIRCAP,-411.7,COC(=O)[C@H]1ON2O[C@H]1c1cc(cc(c1C2([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KIRHIC,197.6,C#CCCCc1ncc(cn1)c1ccc(cc1)[N+](=O)[O-]
KIRHOI,526.7,N#CC(c1ncc(cn1)[N+](=O)[O-])(C#N)CCC#C
KIWLAG,-604.7,COC(=O)Nc1ccc(cc1[N+](=O)[O-])OC
KIZCUT,-398.3,[O-][N+](=O)NC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KOBQOH,-837.7,CC(C[C@H](C(=O)O)NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
KOBXOO,-123,[O-][N+](=O)c1c(N)[nH][nH]c1=O
KODHUG,-408.8,OC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
KODJAO,-396.1,OC(=O)/C=C/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
KOFDUF,-482.9,OCCNC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
KOFKAR,-45.7,[O-][N+](=O)N1CCCN(C1)[N+](=O)[O-]
KOFKEV,-78.2,[O-][N+](=O)N1CCCCN(C1)[N+](=O)[O-]
KOFKIZ,85.2,O=NN1CN(CCN(C1)[N+](=O)[O-])[N+](=O)[O-]
KOFKUM,-16.6,[O-][N+](=O)c1ccc(cc1)/C=C\c1cccc(c1)[N+](=O)[O-]
KOHPAY,-509.2,O=C1CC(C)(C)CC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-]
KOKCOC,-237.5,[O-][N+](=O)c1cc(cc(c1Oc1ccc2c3c1C(=O)C=Cc3ccc2)[N+](=O)[O-])[N+](=O)[O-]
KOLVIS,-357.8,NC(=O)NNC(=O)c1ccc(cc1)[N+](=O)[O-]
KOMHAV,4.3,[O-][N+](=O)c1c[nH]cn1
KOTSIV,-239,COc1cc(ccc1N)[N+](=O)[O-]
KOVGIL,-100.7,CN(C(=C([N+](=O)[O-])[N+](=O)[O-])N(C)C)C
KOVGUX,54,[O-][N+](=O)C(=C(Nc1ccccc1)Nc1ccccc1)[N+](=O)[O-]
KOVHAE,-58.8,[O-][N+](=O)C(=C1NCCN1)[N+](=O)[O-]
KOVHIM,-112.7,[O-][N+](=O)C(=C1NCCCCN1)[N+](=O)[O-]
KOWRUJ,-50.2,[O-][N+](=O)[C@@H]1C=C[C@@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KUBPAY,86,[O-][N+](=O)N1CCN=C1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KUBPIG,39.7,[O-][N+](=O)N1CCNC1=C([N+](=O)[O-])[N+](=O)[O-]
KUBPOM,28.6,[O-][N+](=O)N1CCCNC1=C([N+](=O)[O-])[N+](=O)[O-]
KUBPUS,-47.6,[O-][N+](=O)N1CCCCNC1=C([N+](=O)[O-])[N+](=O)[O-]
KUFLUU01,-305.7,COc1cccc(c1O)/C=N/c1cccc(c1)[N+](=O)[O-]
KUGSEM,89.7,[O-][N+](=O)c1cccc(c1)c1cc2c(n1c1ccccn1)cccc2
KUGYAM,-370.5,[O-][N+](=O)N1CN(CN([C@@H]2[C@H]1N(CN2C(=O)C)C(=O)C)[N+](=O)[O-])[N+](=O)[O-]
KUHCEW,37.8,Cc1ccc(cc1)/N=C/c1ccccc1[N+](=O)[O-]
KUHKAB,46.5,N#CC([C@@H]1C(=C(NC)Oc2c1cccc2)[N+](=O)[O-])C#N
KUHKEF,-536.7,CCOC(=O)[C@@H]([C@@H]1C(=C(NC)Oc2c1cccc2)[N+](=O)[O-])C#N
KUHVUE,-159.4,COC(=O)/C(=[N+]\1/N=[n+]2c(=C1C)cccc2)/C=C([N+](=O)[O-])[N+](=O)[O-]
KUNLAG,-325,O=C(Nc1cc(C)cc(n1)C)Cc1cccc(c1)[N+](=O)[O-]
KUPCIJ,-457.3,[O-][N+](=O)NC(=O)OCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
KUTKOA,19.6,[O-][N+](=O)/N=C/1\NCN(CN1C)Cc1ccccc1
KUWGOZ,-56.9,CC(n1nccc1c1ccc(cc1)[N+](=O)[O-])(C)C
KUZBAJ,-358.3,CCOC(=O)/C(=C/c1cc(ccc1N1CCCC1)[N+](=O)[O-])/C#N
KUZJUL,-17.3,[O-][N+](=O)c1cccc(c1)/C=N/c1onc(c1C)C
KUZVUX02,-484.4,[O-][N+](=O)c1cn(c(n1)C)CC(=O)OCC
LABJON01,-336.1,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-]
LABLOP,3.4,Cn1cnc(c1NCc1ccccc1)[N+](=O)[O-]
LACLAC,-288.1,[O-][N+](=O)c1cc(C(=O)N)c(c(c1)[N+](=O)[O-])C
LAGGAE,-118.9,Oc1ccccc1/C=N/c1ccc(cc1)[N+](=O)[O-]
LAGVEU,-460.6,CC(=O)O[C@H]1N([N+](=O)[O-])c2ccccc2C(=O)N1[N+](=O)[O-]
LAGZUR,-563.7,O=C(C(C)C)NC1=C([N+](=O)[O-])C(=O)c2c(C1=O)cccc2
LAHCEC,-468.8,OC(=O)CNc1ccc(cc1)[N+](=O)[O-]
LAJFAF,-494.1,COCCNC(=O)Nc1ccc(cc1)[N+](=O)[O-]
LALQIZ,-306.3,CC(=O)C(=NNc1c(C)cccc1[N+](=O)[O-])C(=O)C
LANFIR,-473.4,Oc1ccc(c(c1)/C=N/NC(=O)c1cccc(c1O)C)[N+](=O)[O-]
LANHIR,13,[O-][N+](=O)c1ccc(cc1)/C=C/c1cc2c(n1C)cccc2
LANLOC,-539.4,CC(OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
LANTIF,44.8,C/C(=N\N=C(\c1cccc(c1)[N+](=O)[O-])/C)/c1cccc(c1)[N+](=O)[O-]
LANWUU,-88,O=C(c1ccc(cc1)[N+](=O)[O-])N/N=C/c1cccc(c1)[N+](=O)[O-]
LAPCUC,-87.4,O=C(c1cccc(c1)[N+](=O)[O-])N/N=C/c1cccc(c1)[N+](=O)[O-]
LAPVAC,150.4,COc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])n1cnnn1
LAPVEG,169.7,COc1c(cc(cc1[N+](=O)[O-])n1cnnn1)[N+](=O)[O-]
LAPVIK,274.8,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])n1cnnn1
LAPVOQ,244.3,Cc1ccc(cc1n1cnnn1)[N+](=O)[O-]
LAPVUW,357.7,[O-][N+](=O)Nc1c(cc(cc1[N+](=O)[O-])n1cnnn1)[N+](=O)[O-]
LAPWAD,666.8,N#[N+]/N=C/1\C(=C/C(=[N+]/2\C=NN=N2)/C=C1[N+](=O)[O-])[N+](=O)[O-]
LAPWEH,270.9,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1n1cnnn1)C
LAPWIL,260,[O-][N+](=O)c1cc(cc(c1C)[N+](=O)[O-])n1cnnn1
LAPWOR,339.2,[O-][N+](=O)c1cc(cc(c1[N+](=O)[O-])[N+](=O)[O-])n1cnnn1
LAPWUX,167.9,COc1cc(n2cnnn2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
LAPYUY,-748.5,O=C(Nc1ccc(cc1[N+](=O)[O-])C)CCC(=O)O
LAQKIZ,-370.8,C[C@@H]([C@H](c1ccc(cc1)[N+](=O)[O-])O)[N+](=O)[O-]
LATWOS,2.9,O=C(c1c2nonc2c(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)c1ccccc1
LEBGEE,-12.2,CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
LECVAQ,-307.6,[O-][N+](=O)c1cc(cc2c1N(N=C(O2)c1ccco1)C(=O)c1ccco1)[N+](=O)[O-]
LEDYOK,-791.1,COC(=O)CNC(=O)c1ccc(c(c1)[N+](=O)[O-])OC
LEFCEG,-65.6,C/C(=C\c1ccccc1[N+](=O)[O-])/[N+](=O)[O-]
LEFHAH,-970.8,COc1c(C(=O)N[C@H](C(=O)OC)C)c(OC)c(cc1[N+](=O)[O-])[N+](=O)[O-]
LEFRAP,-57.5,[O-][N+](=O)C1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
LEFRET,-518.5,OC(=O)CCC1(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
LEFZED,-404.4,CC(=O)Nc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-]
LEHNIW,-413.2,[O-][N+](=O)c1c[nH]c(=O)n(c1=O)C
LEJKOA,-200.1,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2C[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1C[C@H]([C@@H]42)C3([N+](=O)[O-])[N+](=O)[O-]
LEKHUE,-108.9,[O-][N+](=O)c1nc([nH]c1C)C
LEKLOC,-204.2,O=Cc1ccccc1CCNc1ccccc1[N+](=O)[O-]
LEMSAA,-544.7,COc1c(OC)cccc1C(=O)Nc1ccc(cc1)[N+](=O)[O-]
LEQTAC,-314.4,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]
LESLIG,-984.7,COC(=O)c1cc(NC(=O)c2ccc(cc2)[N+](=O)[O-])c(cc1O)O
LEVKEE,-280.3,CC([C@@H]([N+](=O)[O-])Cc1ccccc1)([N+](=O)[O-])C
LEVNUW,11.5,[O-][N+](=O)c1ccc(cc1)NCc1ccncc1
LEWGEA,-437.9,CCN1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
LEWJUS,-461.2,[O-][N+](=O)C[C@]1(O)C(=O)c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
LEXYUK,-969.5,CCOC(=O)c1oc2c(c1N1C(=O)CCC1=O)cc(cc2)[N+](=O)[O-]
LEZNUZ,-57.4,O=C1ON=C(/C/1=N/Nc1ccc(cc1)[N+](=O)[O-])C
LEZPEL,63.9,CC1=NN(C(=O)/C/1=N\Nc1ccc(cc1)[N+](=O)[O-])c1ccccc1
LIBMUF,-476.4,COc1ccc(c(c1)O)/C(=N/NC(=O)c1ccc(cc1)[N+](=O)[O-])/C
LIBXEZ,134,[O-][N+](=O)c1ccc2c(c1)cn(n2)c1ccccc1
LIHWEF,-639.3,O=C1O[C@H]2CCC[C@@H]2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
LIJKEV,80.4,[O-][N+](=O)c1cn(c(n1)C)c1cccnc1
LIJQEB,154.8,N#C/C(=C\c1c[nH]c2c1cccc2)/c1ccc(cc1)[N+](=O)[O-]
LILJUL,-256.2,[O-][N+](=O)c1cc(ccc1/C=C/c1ccc2c(c1)OCO2)[N+](=O)[O-]
LINHUL,-284.3,[O-][N+](=O)[C@]12C[C@H]3C[C@@]2(C[C@@H](C1)C3)[N+](=O)[O-]
LINJAT,-320.6,[O-][N+](=O)[C@@H]1[C@@H]2C[C@@]3(C[C@H]1C[C@@]3(C2)[N+](=O)[O-])[N+](=O)[O-]
LINVUZ,-18.1,COc1ccc(cc1)/C=C(/[N+](=O)[O-])\C#N
LIPRIO,14.5,Cc1ccc(cc1)/[NH+]=C/1\C=CC(=C[N+]1=O)[N+](=O)[O-]
LIPVEN,-124.3,[O-][N+](=O)c1cccc(c1)/C=C/c1ccc2c(n1)c(O)ccc2
LIQDEW,57.2,[O-][N+](=O)c1cnc(nc1)NCc1ccccc1
LIQKEC,75.1,O=C(c1n[nH]cn1)N/N=C/c1cccc(c1)[N+](=O)[O-]
LIVWET02,-163.8,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
LIXWAS,-32.8,COc1ccc(cc1)/C=N/Nc1ccccc1[N+](=O)[O-]
LOBWIJ,-390.3,ON1C(=O)c2cc(ccc2CC1(C)C)[N+](=O)[O-]
LOFCEQ,129.8,[O-][N+](=O)c1ccc2c(c1)n(nc2)CCn1ncc2c1cc(cc2)[N+](=O)[O-]
LOFSII,-304,O=C1/C(=C/Nc2ccc(cc2)[N+](=O)[O-])/C=CC=C1O
LOFSUV,-196,CCN1C(=O)/C(=N\Nc2ccccc2[N+](=O)[O-])/C(=C(C1=O)C#N)C
LOHGOE,-305.7,[O-][N+](=O)c1ccc2c3c1cccc3c(=O)n(c2=O)c1ccccc1
LOJBAN,-150.8,CCCNc1ccc(cc1)[N+](=O)[O-]
LOJBER,-187.8,CCCCNc1ccc(cc1)[N+](=O)[O-]
LOJBIV,-226.5,CCCCCNc1ccc(cc1)[N+](=O)[O-]
LOJKAX,63.1,N#Cc1cccc(c1C)[N+](=O)[O-]
LOLFAT,-118.1,[O-][N+](=O)OC1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
LOLFEX,-208.3,OC1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
LOLGAV01,227.5,[O-][N+](=O)c1ccccc1n1nnc(c1)c1ccccc1
LOLGUP,210.5,[O-][N+](=O)c1cccc(c1)n1nnc(c1)c1ccccc1
LOLHOK,210.3,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)c1ccccc1
LOLJAX02,-337,O=C(C(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
LONSAK,-584.6,O=C1CCC(=O)N1C(=O)c1ccc(cc1)[N+](=O)[O-]
LORJAD,-680.5,CCOC(=O)/C(=C/N/N=C\1/N(C)C(=O)N(C(=O)/C1=N\O)C)/[N+](=O)[O-]
LORNAI,24.8,N#CCc1cccc(c1C)[N+](=O)[O-]
LOZZEH,-362.9,CN([N+](=O)[O-])CN1C(=O)c2c(C1=O)cccc2
LOZZIL,-49.7,[O-][N+](=O)NCN([N+](=O)[O-])C
LUDFAR,-147.8,O=C/C=C/O/C=C/c1noc(c1)[N+](=O)[O-]
LUDGAS,-199.5,CN(c1ccc(cc1)C(=O)c1ccc(cc1)[N+](=O)[O-])C
LUFXIV,-54.1,CCCCCCc1nnn(c1)c1ccc(cc1)[N+](=O)[O-]
LUHPAF,-205.1,[O-][N+](=O)N1CCNC1=O
LULYEW,-165.1,O=C1C=CC(=C/C/1=C/NCc1ccccc1)[N+](=O)[O-]
LUTXAB,-281.4,CNC1=C(C=C2[C@@H](N1C)Oc1c(C2=O)cccc1)[N+](=O)[O-]
MABPAJ,-186.4,O=C1N[C@@H](Nc2c1cccc2)c1ccc(cc1)[N+](=O)[O-]
MABZNA02,19.6,CN(c1ccc(cc1)/C=N/c1ccc(cc1)[N+](=O)[O-])C
MACINA10,-403.6,OC(=O)/C=C/c1ccc(c(c1)[N+](=O)[O-])N(C)C
MADKOT,-277.8,O[C@@H]([C@H]([N+](=O)[O-])C)c1ccncc1
MADKUZ,-323.7,O[C@H](C([N+](=O)[O-])(C)C)c1ccncc1
MAJTIB,-364.6,O=C1NC(=O)c2c1cc(cc2)[N+](=O)[O-]
MAMGEM,47.3,[O-][N+](=O)C(=C(c1ccccc1)c1ccccc1)[N+](=O)[O-]
MANXUW,-525.3,[O-][N+](=O)c1cc2O[C@@H](CNc2cc1)OCCCC
MAPFOZ,-315.5,COc1ccc(c(c1)/C=N/c1ccc(cc1)[N+](=O)[O-])O
MAPFUF,-362.7,CCOc1cccc(c1O)/C=N/c1ccc(cc1)[N+](=O)[O-]
MAPPUQ,-886.7,CC(=O)O[C@H]1NC(=C([N+](=O)[O-])[N+](=O)[O-])N[C@@H]1OC(=O)C
MATCUF,-430.9,O=c1nc(N(c2ccc(cc2)[N+](=O)[O-])C)n(c(=O)n1C)C
MATDEQ,-435.6,O=c1n(C)c(=Nc2ccc(cc2)[N+](=O)[O-])n(c(=O)n1C)C
MAYKAB,-597.7,C#CCN1[C@@H](C[N+](=O)[O-])[C@H]2[C@@H]([C@H]1[C@@H](O)C)OC(O2)(C)C
MAYKEF,-826.3,O[C@@H]1CN2C[C@@H]([C@@H]([C@H]2[C@H]2[C@@H]1OC(O2)(C)C)[N+](=O)[O-])C
MAYKIJ,-653.1,O[C@@H]1CN2C[C@H]3[C@@]([C@H]2[C@H]2[C@@H]1OC(O2)(C)C)(C3)[N+](=O)[O-]
MAYKOP,-831.1,O[C@@H]1CN2C[C@H]([C@H]([C@@H]2[C@@H]2[C@H]1OC(O2)(C)C)[N+](=O)[O-])C
MAYKUV,-702.1,C[C@@H]([C@@H]1[C@H]2OC(O[C@H]2[C@H]2N1C[C@H]1[C@@]2(C1)[N+](=O)[O-])(C)C)O
MAZXEQ,-394.8,O=C1[C@H]2C[C@@H](c3c1cc(cc3)[N+](=O)[O-])C(=O)c1c2ccc(c1)[N+](=O)[O-]
MAZZOD,-719.7,O=C(Nc1cccc(c1)[N+](=O)[O-])CCC(=O)O
MEDNEQ,-202,[O-][N+](=O)c1cc2n3c(n[nH]c3=O)COc2c(c1)[N+](=O)[O-]
MEDNIU,-624.1,[O-][N+](=O)c1cc2n3c(COc2c(c1)[N+](=O)[O-])nn(c3=O)/C(=C(/O)\C)/C(=O)C
MEGMIV,-681.3,O[C@H]1CCN(C1)/C(=N/C(=O)OCc1ccc(cc1)[N+](=O)[O-])/C
MEKRAV,-482.8,O=C1NC(=C([C@@H](C1)c1cccc(c1)[N+](=O)[O-])C(=O)C)C
MEMDIS,-424.6,[O-][N+](=O)c1ccc(cc1)C1=CO[C@@H]2O[C@H]1OC=C2c1ccc(cc1)[N+](=O)[O-]
MENBEN,86.5,[O-][N+](=O)c1ccccc1/C=N/c1ccccc1
MENFXN,126.6,[O-][N+](=O)C1=C(C)[N+](=O)O[N-]1
MENOIM,-55.3,[O-][N+](=O)c1c[nH]c(n1)C
MENPND10,-644.8,COC(=O)C(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)OC
MENPPO,-481.2,O=C1C[C@@H](C(=O)N1C)c1ccccc1[N+](=O)[O-]
MEPFOD,-329.8,CCN(CCN/C=C\1/C=C(C=CC1=O)[N+](=O)[O-])CC
MEPQAA,210,[O-][N+](=O)c1ccc(c2c1non2)NCCc1ccccn1
MEQVIO,-273.2,CCc1ccc(nc1)CCOc1ccc(cc1)[N+](=O)[O-]
MERMEE,1223.9,N#[N+][N-]C1=C([N+](=O)[O-])/C(=N/[N+]#N)/C(=[N+]\2/N=CN=C2)/C(=C1[N+](=O)[O-])[N-][N+]#N
MERMOO,321.7,[O-][N+](=O)c1c(n2cncn2)c(n2cncn2)c(c(c1N)[N+](=O)[O-])N
MERVEN,90.3,[O-][N+](=O)c1c(N)c(n2cncn2)c(c(c1N)[N+](=O)[O-])N
METNAM01,-75.4,CN([N+](=O)[O-])C
MEWLIL,-213.1,C=CCn1c(=O)[nH]c2c1ccc(c2)[N+](=O)[O-]
MEWSAK,-331.4,[O-][N+](=O)C(CO[N+](=O)[O-])CO[N+](=O)[O-]
MEWTUF,-493.7,OC[C@@]1(CN(C[C@@H]1c1ccc(cc1)OC)C)[N+](=O)[O-]
MICMAM,-170,CCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MICMEQ,-208.7,CCCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MICMIU,-248.5,CCCCCNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
MIFWOO,-195.1,O=C1Nc2n[nH]c(c2[C@@H](C1)c1ccc(cc1)[N+](=O)[O-])C
MIMPOQ,-77.3,[O-][N+](=O)C[C@H]1ON=C(C1)c1ccccc1
MIMYUF,131.5,N#Cc1c(N)nc2c(c1c1ccc(cc1)[N+](=O)[O-])ccc1c2cccc1
MINHAV,632.4,[O-][N+](=O)Nc1nnc2n(n1)cnn2
MINPAB,-16.3,Cc1ccc(c(c1)C)/N=C/c1ccccc1[N+](=O)[O-]
MINPEF,-43.8,Cc1ccc(c(c1)C)/N=C/c1cccc(c1)[N+](=O)[O-]
MIQNOP,-465.5,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1C[C@H]2C[C@@H]1c1c2cccc1
MIYDII,-458.3,OC(=O)[C@@H]1CCCN/C(=N/[N+](=O)[O-])/N1
MNABTZ10,312.9,C[n+]1nc([N-]c2ccccc2[N+](=O)[O-])c2c(n1)cccc2
MNETAM01,-77.3,CN(/C=C/[N+](=O)[O-])C
MNHCHA,-647.9,[O-][N+](=O)[C@@]12C[C@@H]1[C@]1(C[C@H]1C[C@@]2(O)C(=O)O)[N+](=O)[O-]
MNIANL05,-68.5,Nc1cccc(c1)[N+](=O)[O-]
