ID,HOF_S(kJ/mol),smiles
CAVDAF,-218.8,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C
CAVROG,305.6,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N
CAWWED,50,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1
CAXNIY,-325.2,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-]
CAYMAR,22.1,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2
CECCEU,9,[O-][N+](=O)c1cccc2c1c1ccccc1NC2
CEDMUV,216.9,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1
CEDQAF,-239.3,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-]
CEDZUG,414.9,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-]
CEGVOB,-535.8,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC
CEKVOD,140.3,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1
CEQXEB,1.8,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C
CICMAD01,-75.8,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-]
CIDQIP,-395.6,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C
CIFROY,106.9,[O-][N+](=O)c1n[nH]cn1
CIGSUJ,-93.9,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-]
CIJBAA,76.3,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1
CIJDAC,-305.6,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N
CIJYIE,111.6,N#Cc1[nH]c(nc1[N+](=O)[O-])C
CILBII,-854.9,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
CINVIE,-432.2,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-]
CIQCAJ,-460.4,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O
CIQRIE,-498.4,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-]
CIVVEI10,-613,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CIWMAW01,-11,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-]
CIWMEA10,13,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
CMDNFL,309.2,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N
CMNFLU10,321.9,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N
CNOXPA,-145.7,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C
COCNBZ01,-479.6,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1
CODYAX,-409.1,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O
COGFUB,587.9,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-]
COGGAI,698.8,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-]
COMGUG,-323.5,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-]
COQVAF,-11.2,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-]
COWBEV,356,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
COWNUX,-372.2,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-]
COXXIW,-483.4,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N
COYLAF03,61.7,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CTMTNA,79,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
CUBHEO,-467.8,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-]
CUBKAN,-489.8,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-]
CUDYEH,-885.9,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUDYIL,-834.6,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
CUHZEM,-16.4,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2
CUKCAM10,-443.3,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
CUKRUW,75.3,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1
CUKSIK,-367.6,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O
CUMQEI,277,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1
CUNCOE,283.3,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
CUNGAT,-83.5,CN/C=C/[N+](=O)[O-]
CUNTOU,-127.5,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
CUNVAI,-151.8,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
CUNWEN,-678.7,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CUPPIO,-185.7,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
CUPQEL,-184.4,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-]
CUPSAJ,-163.1,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
CURNIO,-158.7,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1
CUTWIX,-520.2,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWOD,-517.9,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWUJ,-511.7,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTXAQ,-688.5,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C
CUTXUL,-688.9,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O
CUVXOG,-205.2,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CUZDEG,-60.8,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
CUZMOZ,35.8,[O-][N+](=O)c1ccn(n1)C
CUZMUF,40.4,Cn1ncc(c1)[N+](=O)[O-]
DABRIK,-384.2,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
DABTEI,-216.8,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC
DACYEL,-436.6,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DACZIT,-233.5,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1
DADQIJ,60.9,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
DAFBOB,-111.4,[O-][N+](=O)/C=C/1\CCCN1C
DAFGAS,-37.5,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-]
DAGREJ,-1010.5,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O
DAHLAZ,117,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1
DAJXUH,-421.8,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-]
DAPJOU,-160.7,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-]
DARQUJ,-174.5,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
DARRAQ,-170.1,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
DARWAX,-115.5,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-]
DARWEB,-87.5,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-]
DATGEL,-144.3,[O-][N+](=O)c1ccc(c(c1N)C)C
DATNBZ01,-92.2,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DAVKET,-2.9,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-]
DAVQOH,175.9,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-]
