ID,DetoP(GPa),smiles
BOPQUU,6.2,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1
BOQHEU,9.6,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOQJAS,9.8,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-]
BOQWUZ,33.1,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-]
BORHAS,12.2,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC
BORHIA,8.6,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1
BOSVIO,21,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-]
BOTLEC,6.7,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C
BOTMUT,11,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
BOWSIP,9,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
BUDKER,9.7,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-]
BUDVEC,8.4,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-]
BUDVIH,9.9,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C
BUFDUC,8.1,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O
BUGKIY,29.3,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N
BUGKOE,34.6,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-]
BUNCIW,19,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C
BURJAZ,9.9,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1
BURJED,9.2,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
