ID,Density(g/cm^3),smiles
BIXCUJ,1.3291,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C
BOBMAG01,1.5093,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
BOCPIS,1.359,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C
BOCROA,1.3652,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-]
BOCYOI,1.4134,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
BOGSIA,1.4308,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOJDOU,1.4255,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
BOLPEX,1.7372,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-]
BOMHAM,1.5555,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-]
BOPQUU,1.3336,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1
BOQHEU,1.4052,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOQJAS,1.488,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-]
BOQWUZ,1.9526,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-]
BORHAS,1.4557,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC
BORHIA,1.4103,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1
BOSVIO,1.8136,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-]
BOTLEC,1.3509,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C
BOTMUT,1.5088,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
BOWSIP,1.3722,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
BUDKER,1.4415,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-]
BUDVEC,1.2991,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-]
BUDVIH,1.4503,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C
BUFDUC,1.4118,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O
BUGKIY,1.7495,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N
BUGKOE,1.8042,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-]
BUNCIW,1.5751,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C
BURJAZ,1.4713,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1
BURJED,1.4235,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
BURKUU,1.5124,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
