ID,DetoD(m/s),smiles
CUNVAI,5777,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
CUNWEN,5664,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
CUPPIO,4090,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-]
CUPQEL,4086,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-]
CUPSAJ,4232,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
CURNIO,4510,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1
CUTWIX,5594,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWOD,5603,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTWUJ,5634,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C
CUTXAQ,4918,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C
CUTXUL,4118,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O
CUVXOG,9073,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CUZDEG,6546,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
CUZMOZ,6153,[O-][N+](=O)c1ccn(n1)C
CUZMUF,6117,Cn1ncc(c1)[N+](=O)[O-]
DABRIK,4337,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
DABTEI,4525,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC
DACYEL,7580,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DACZIT,3901,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1
DADQIJ,5166,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
DAFBOB,5381,[O-][N+](=O)/C=C/1\CCCN1C
DAFGAS,7178,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-]
DAGREJ,4474,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O
DAHLAZ,4361,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1
DAJXUH,6565,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-]
DAPJOU,6509,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-]
DARQUJ,4034,O=C1C[C@@H](N1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
DARRAQ,4876,O=C1C[C@H](N1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
DARWAX,5309,[O-][N+](=O)c1cc(ccc1C(=O)c1ccccn1)[N+](=O)[O-]
DARWEB,4443,O=C(c1ccncc1)c1ccc(cc1)[N+](=O)[O-]
DATGEL,4591,[O-][N+](=O)c1ccc(c(c1N)C)C
DATNBZ01,7770,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
DAVKET,3823,N#CC(=c1cc(C)n(c(c1)C)CC)c1ccc(cc1)[N+](=O)[O-]
DAVQOH,5289,N#Cc1cc(cc2c1c1c(C#N)cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-]
DAVXAZ,6680,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXED,6795,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXIH,6228,[O-][N+](=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DAVXON,6155,[O-][N+](=O)C1=C(C)[C@@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
DAVXUT,6132,[O-][N+](=O)C1=C(C)[C@](C)([N+](=O)[O-])C(=O)[C@@]([C@@]1(C)[N+](=O)[O-])(C)O
