ID,DetoT(K),smiles,DetoT
CUTXAQ,2088,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)O)(C)[N+](=O)[O-])C(C)(C)C,2.088
CUTXUL,1109,CC[C@@H]([C@H](N1C(=O)c2c(C1=O)cccc2)C[N+](=O)[O-])C=O,1.109
CUVXOG,4164,[O-][N+](=O)C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4.164
CUZDEG,2669,Nc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],2.669
CUZMOZ,2885,[O-][N+](=O)c1ccn(n1)C,2.885
CUZMUF,2910,Cn1ncc(c1)[N+](=O)[O-],2.91
DABRIK,1177,O=C(Oc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-],1.177
DABTEI,1334,O=Cc1c(nc2n1cc(cc2)[N+](=O)[O-])c1ccc(cc1)OC,1.334
DACYEL,2638,[O-][N+](=O)c1c(C(=O)O)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N,2.638
DACZIT,1209,[O-][N+](=O)C[C@@H](c1ccccc1)CC(=O)c1ccccn1,1.209
DADQIJ,2127,CN(c1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,2.127
DAFBOB,2480,[O-][N+](=O)/C=C/1\CCCN1C,2.48
DAFGAS,3165,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-],3.165
DAGREJ,1112,[O-][N+](=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O,1.112
DAHLAZ,1621,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1,1.621
DAJXUH,2119,[O-][N+](=O)c1ccc(c(c1)C(=O)O)[N+](=O)[O-],2.119
DAPJOU,2883,[O-][N+](=O)c1cc(cc(c1OCC1CC1)[N+](=O)[O-])[N+](=O)[O-],2.883
